web-scraper-order,web-scraper-start-url,team_list,team_list-href,player_list,player_list-href,Name,Birth,Amplua,Height,Photo-src,Sport-achievements-src,Weight,team-name
"1585688771-959","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12423/Itemid,4259/","Юрій Матвієнко","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,3597/Itemid,4259/","Юрій Матвієнко","06. 05. 2000 (19)","Нападаючий","192 cm","https://ukv.org.ua//images/stories/Classic/2018-2019/MatvienkoY.jpg","","null","Команда  НУБіП"
"1585688652-905","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12440/Itemid,4259/","В’ячеслав Палій","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,1483/Itemid,4259/","В’ячеслав Палій","18. 02. 1989 (30)","Зв`язуючий","188 cm","https://ukv.org.ua/images/stories/Classic/2012-2013/Man/Transfer/Paliy.jpg","","80 kg","Команда  ТНТ"
"1585688745-947","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12432/Itemid,4259/","Тимофій Мінгалєєв","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,3543/Itemid,4259/","Тимофій Мінгалєєв","01. 06. 1991 (28)","Блокуючий","202 cm","https://ukv.org.ua//images/stories/Classic/2017-2018/Teams/photo/APOLON/Mingaleev_APO.jpg","","null","Команда  ПІМ"
"1585688730-941","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12438/Itemid,4259/","Микола Шокрута","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,2030/Itemid,4259/","Микола Шокрута","20. 12. 1994 (24)","Діагональний","189 cm","https://ukv.org.ua//images/stories/Classic/2014-2015/Teams/Teplo/Shokruta.jpg","","82 kg","Команда  Прорив"
"1585688640-900","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12441/Itemid,4259/","Павло Рябоконь","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,150/Itemid,4259/","Павло Рябоконь","23. 03. 1978 (41)","Блокуючий","189 cm","https://ukv.org.ua/images/stories/2010-2011/man/2divizion/MD/Pasha.JPG","","78 kg","Команда  ТТ (3-й тайм)"
"1585688633-897","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12441/Itemid,4259/","Ігор Рибалко","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,476/Itemid,4259/","Ігор Рибалко","26. 06. 1984 (35)","Зв`язуючий","180 cm","https://ukv.org.ua/images/stories/2011-2012/man/3divizion/KA/02-rybalko.jpg","https://ukv.org.ua/images/joomleague/flags/az.png","74 kg","Команда  ТТ (3-й тайм)"
"1585688743-946","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12432/Itemid,4259/","Максим Заіка","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,3747/Itemid,4259/","Максим Заіка","04. 10. 1982 (36)","Блокуючий","198 cm","https://ukv.org.ua//images/stories/Classic/2018-2019/Zaika.jpg","","null","Команда  ПІМ"
"1585688767-957","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12423/Itemid,4259/","Владислав Яненко","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,3966/Itemid,4259/","Владислав Яненко","28. 03. 2000 (19)","Блокуючий","190 cm","https://ukv.org.ua//images/stories/Classic/2018-2019/Yanenko.jpg","","null","Команда  НУБіП"
"1585688722-937","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12438/Itemid,4259/","Олександр Кирилюк","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,2735/Itemid,4259/","Олександр Кирилюк","01. 08. 1996 (23)","Нападаючий","190 cm","https://ukv.org.ua//images/stories/Classic/2015-2016/Politeh/Kyrylyuk.jpg","","90 kg","Команда  Прорив"
"1585688749-949","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12432/Itemid,4259/","Роман Пазухін","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,3749/Itemid,4259/","Роман Пазухін","13. 03. 1987 (32)","Нападаючий","182 cm","https://ukv.org.ua//images/stories/Classic/2018-2019/Pazuhin.jpg","","null","Команда  ПІМ"
